,label,cap-shape,cap-surface,cap-color,bruises,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
32,e,f,y,n,t,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,y,p
33,e,f,s,w,t,f,w,n,w,t,b,s,s,w,w,p,w,o,p,u,v,d
34,p,x,y,y,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,v,d
35,e,x,y,y,t,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,s,p
36,e,x,s,p,t,f,c,b,w,e,b,s,s,w,w,p,w,t,p,w,v,p
37,e,f,y,n,t,f,c,b,u,t,b,s,s,p,w,p,w,o,p,n,y,d
38,p,f,y,w,t,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,u
39,e,f,y,n,t,f,c,b,w,t,b,s,s,g,p,p,w,o,p,k,v,d
40,e,f,y,n,t,f,c,b,p,t,b,s,s,p,p,p,w,o,p,n,v,d
41,e,f,y,y,t,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,s,g
42,p,x,f,g,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,v,d
43,p,f,s,g,t,f,c,b,p,t,b,s,f,w,w,p,w,o,p,h,s,u
44,e,x,f,g,t,f,c,b,w,t,b,s,s,p,p,p,w,o,p,k,v,d
45,p,x,y,y,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,y,d
46,p,f,y,y,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,v,g
47,e,x,y,y,t,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,y,p
48,e,b,y,w,t,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g
49,e,x,y,n,t,f,c,b,n,t,b,s,s,w,p,p,w,o,p,k,y,d
50,p,f,f,g,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,y,p
51,p,x,s,w,f,f,w,n,p,e,b,s,s,w,w,p,w,o,p,n,s,d
52,p,x,f,g,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,v,g
53,p,x,f,y,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,y,g
54,e,b,y,y,t,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g
55,e,f,f,g,t,f,c,b,n,t,b,s,s,w,g,p,w,o,p,k,v,d
56,p,f,y,g,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,y,g
57,p,f,f,g,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,v,p
58,e,f,y,y,t,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,s,g
59,e,f,s,g,f,f,w,b,p,t,e,f,f,w,w,p,w,o,e,k,a,g
60,p,f,f,g,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,y,d
61,e,f,y,n,t,f,c,b,u,t,b,s,s,p,w,p,w,o,p,n,v,d
62,e,f,f,w,f,f,w,b,p,t,e,f,f,w,w,p,w,o,e,n,s,g
63,p,x,s,n,f,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,s,g
64,p,x,y,y,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,y,g
65,p,x,f,g,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,v,d
66,e,f,f,w,f,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,a,g
67,p,x,y,y,t,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m
68,e,f,f,e,t,f,c,b,n,t,b,s,s,g,p,p,w,o,p,n,y,d
69,e,x,s,w,f,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,a,g
70,p,f,y,y,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,y,g
71,e,x,f,n,f,f,w,b,p,t,e,f,f,w,w,p,w,o,e,n,s,g
72,e,f,y,g,t,f,c,b,w,t,b,s,s,p,p,p,w,o,p,k,y,d
73,p,f,s,g,t,f,c,b,p,t,b,f,f,w,w,p,w,o,p,h,s,u
74,e,x,f,g,t,f,c,b,p,t,b,s,s,p,g,p,w,o,p,n,y,d
75,e,x,y,n,t,f,c,b,p,t,b,s,s,w,w,p,w,o,p,n,v,d
76,p,x,s,g,t,f,c,b,p,t,b,s,f,w,w,p,w,o,p,h,s,u
77,e,f,f,e,t,f,c,b,w,t,b,s,s,w,p,p,w,o,p,n,y,d
78,e,f,y,n,t,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,s,p
79,p,f,y,y,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,y,p
80,e,x,f,w,f,f,w,b,n,t,e,f,s,w,w,p,w,o,e,n,s,g
81,p,x,f,g,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,y,d
82,e,f,f,n,t,f,c,b,n,t,b,s,s,p,p,p,w,o,p,k,v,d
83,p,x,f,g,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,y,p
84,p,x,f,p,f,f,w,n,g,e,b,s,s,w,w,p,w,o,p,n,s,d
85,e,x,f,n,f,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,s,g
86,p,f,y,w,t,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,g
87,e,f,y,g,t,f,c,b,u,t,b,s,s,g,p,p,w,o,p,n,y,d
88,p,x,y,y,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,y,g
89,p,x,s,b,t,f,c,b,h,t,b,s,s,w,w,p,w,o,p,h,s,u
90,e,f,f,n,t,f,c,b,u,t,b,s,s,w,g,p,w,o,p,n,v,d
91,e,x,f,g,t,f,c,b,u,t,b,s,s,g,w,p,w,o,p,k,v,d
92,e,f,y,g,t,f,c,b,p,t,b,s,s,g,w,p,w,o,p,k,y,d
93,e,f,y,g,t,f,c,b,n,t,b,s,s,w,p,p,w,o,p,k,v,d
94,p,x,f,y,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,y,d
95,e,f,y,g,t,f,c,b,n,t,b,s,s,p,w,p,w,o,p,n,y,d
96,p,x,s,n,t,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,u
97,e,f,f,w,t,f,w,n,p,t,b,s,s,w,w,p,w,o,p,u,v,d
98,e,f,f,g,f,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,u
99,p,x,f,g,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,v,p
100,p,x,s,n,t,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,g
101,p,x,f,y,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,v,g
102,e,x,f,g,t,f,c,b,w,t,b,s,s,w,w,p,w,o,p,k,y,d
103,p,f,y,g,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,y,g
104,e,x,f,n,t,f,c,b,w,t,b,s,s,w,g,p,w,o,p,k,v,d
105,p,f,y,y,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,y,g
106,p,b,s,w,t,f,c,b,w,e,b,s,s,w,w,p,w,t,p,r,v,m
107,p,f,f,g,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,y,p
108,p,x,f,g,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,v,d
109,p,f,y,y,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,y,p
110,p,f,s,w,t,f,c,b,p,t,b,s,f,w,w,p,w,o,p,h,s,u
111,e,f,y,g,t,f,c,b,w,t,b,s,s,g,g,p,w,o,p,n,v,d
112,e,x,f,g,f,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,s,g
113,e,x,y,w,t,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,g
114,e,f,y,n,t,f,c,b,w,t,b,s,s,g,w,p,w,o,p,k,v,d
115,p,f,f,y,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,y,p
116,e,x,y,y,t,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,y,g
117,p,x,f,g,f,f,c,n,p,e,b,s,s,w,w,p,w,o,p,k,v,d
118,e,f,s,n,f,f,w,b,k,t,e,f,s,w,w,p,w,o,e,k,a,g
119,p,f,y,g,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,y,d
120,p,x,f,e,t,f,c,b,n,t,b,s,s,g,p,p,w,o,p,k,y,d
121,p,f,f,g,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,y,p
122,p,f,y,y,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,y,g
123,e,f,s,w,f,f,w,b,h,t,e,s,f,w,w,p,w,o,e,n,s,g
124,e,x,f,n,f,f,w,b,n,t,e,f,f,w,w,p,w,o,e,k,s,g
125,p,x,s,w,t,f,c,b,p,t,b,f,s,w,w,p,w,o,p,h,v,g
126,p,x,s,g,t,f,c,b,h,t,b,s,s,w,w,p,w,o,p,h,s,g
127,p,x,f,y,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,v,p
128,p,x,y,g,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,y,p
129,p,f,y,y,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,y,g
130,e,x,f,g,t,f,c,b,n,t,b,s,s,p,g,p,w,o,p,k,y,d
131,e,f,y,n,t,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,y,g
132,p,f,y,w,t,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,g
133,e,k,y,n,f,a,c,b,y,e,c,k,y,c,c,p,w,n,n,w,c,d
134,p,f,y,y,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,y,g
135,e,f,y,n,t,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,s,u
136,e,x,y,g,t,f,c,b,p,t,b,s,s,w,g,p,w,o,p,n,v,d
137,p,f,f,y,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,y,d
138,e,x,f,n,t,f,c,b,u,t,b,s,s,g,g,p,w,o,p,n,y,d
139,p,f,f,g,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,y,d
140,p,f,f,g,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,v,d
141,p,f,f,g,t,f,c,b,p,t,b,s,s,g,p,p,w,o,p,n,v,d
142,e,x,f,n,f,f,w,b,k,t,e,s,f,w,w,p,w,o,e,k,s,g
143,p,f,f,y,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,y,d
144,p,x,f,g,f,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,s,g
145,p,f,y,y,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,v,g
146,e,f,f,g,f,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,s,g
147,e,x,y,e,t,f,c,b,u,t,b,s,s,w,p,p,w,o,p,n,v,d
148,e,b,s,w,t,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g
149,p,f,f,g,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,y,g
150,e,f,f,n,t,f,c,b,n,t,b,s,s,g,g,p,w,o,p,n,y,d
151,e,x,f,n,f,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,y,u
152,e,x,s,w,t,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,g
153,e,x,s,n,f,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,a,g
154,e,x,y,e,t,f,c,b,p,t,b,s,s,w,w,p,w,o,p,k,v,d
155,p,f,y,w,t,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u
156,p,f,y,n,f,f,c,b,w,e,c,k,y,c,c,p,w,n,n,w,c,d
157,p,x,s,p,f,f,c,n,n,e,b,s,s,w,w,p,w,o,p,k,s,d
158,p,f,s,b,t,f,c,b,p,t,b,f,f,w,w,p,w,o,p,h,s,g
159,p,x,f,g,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,y,p
160,p,x,f,y,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,v,p
161,e,f,f,e,t,f,c,b,p,t,b,s,s,p,g,p,w,o,p,k,y,d
162,e,f,y,e,t,f,c,b,u,t,b,s,s,w,g,p,w,o,p,n,v,d
163,p,x,s,w,t,f,c,b,w,t,b,f,f,w,w,p,w,o,p,h,v,u
164,e,f,s,w,f,f,w,b,n,t,e,s,f,w,w,p,w,o,e,n,s,g
165,p,x,f,y,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,v,g
166,e,x,f,e,t,f,c,b,w,t,b,s,s,g,p,p,w,o,p,k,y,d
167,e,f,f,w,f,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,s,g
168,p,k,y,e,f,f,c,b,y,e,c,k,y,c,c,p,w,n,n,w,c,d
169,e,f,f,n,t,f,c,b,u,t,b,s,s,p,w,p,w,o,p,n,y,d
170,e,f,s,w,f,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,a,g
171,e,f,s,w,f,f,w,b,n,t,e,f,s,w,w,p,w,o,e,k,a,g
172,e,x,f,g,t,f,c,b,u,t,b,s,s,w,g,p,w,o,p,n,y,d
173,p,x,y,g,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,v,g
174,p,f,f,y,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,y,g
175,e,x,f,e,t,f,c,b,p,t,b,s,s,p,p,p,w,o,p,n,y,d
176,e,x,f,n,t,f,c,b,w,t,b,s,s,g,p,p,w,o,p,k,v,d
177,e,f,y,n,t,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,s,p
178,e,x,f,g,f,f,w,b,n,t,e,f,f,w,w,p,w,o,e,k,a,g
179,e,f,s,g,f,f,w,b,p,t,e,s,f,w,w,p,w,o,e,n,s,g
180,p,f,y,g,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,v,d
181,e,x,s,g,f,f,w,b,n,t,e,f,s,w,w,p,w,o,e,n,s,g
182,e,x,s,w,t,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g
183,e,f,f,g,t,f,c,b,w,t,b,s,s,p,g,p,w,o,p,k,y,d
184,p,f,s,b,t,f,c,b,p,t,b,s,s,w,w,p,w,o,p,h,v,g
185,e,x,s,g,f,f,w,b,k,t,e,f,s,w,w,p,w,o,e,k,s,g
186,e,x,f,g,f,f,w,b,h,t,e,s,f,w,w,p,w,o,e,n,s,g
187,e,f,f,n,f,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,s,g
188,e,f,f,n,t,f,c,b,u,t,b,s,s,w,w,p,w,o,p,n,y,d
189,e,x,f,n,f,f,c,n,g,e,e,s,s,w,w,p,w,o,p,n,v,u
190,e,x,s,y,t,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m
191,p,f,f,y,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,y,g
192,p,f,y,g,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,y,g
193,e,b,s,y,t,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,g
194,p,x,y,g,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,y,p
195,e,x,s,w,t,f,w,n,p,t,b,s,s,w,w,p,w,o,p,u,v,d
196,e,f,y,e,t,f,c,b,u,t,b,s,s,g,p,p,w,o,p,n,v,d
197,e,f,s,g,f,f,w,b,n,t,e,f,f,w,w,p,w,o,e,k,a,g
198,p,x,y,g,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,v,d
199,e,x,y,e,t,f,c,b,w,t,b,s,s,p,p,p,w,o,p,n,y,d
200,e,f,y,n,t,f,c,b,p,t,b,s,s,p,w,p,w,o,p,n,v,d
201,p,b,y,b,t,f,c,b,g,e,b,s,s,w,w,p,w,t,p,r,v,m
202,p,f,f,g,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,y,g
203,e,f,f,n,f,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,u
204,e,f,f,g,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,v,d
205,e,f,f,e,t,f,c,b,w,t,b,s,s,p,p,p,w,o,p,n,y,d
206,e,f,s,n,f,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,s,g
207,e,f,f,n,f,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,s,g
208,p,x,s,w,f,f,c,n,p,e,b,s,s,w,w,p,w,o,p,k,s,d
209,e,f,f,n,f,f,w,b,h,t,e,s,f,w,w,p,w,o,e,n,a,g
210,p,f,y,y,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,v,p
211,e,b,y,y,t,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,m
212,e,f,f,n,t,f,c,b,n,t,b,s,s,p,w,p,w,o,p,n,y,d
213,p,x,s,w,t,f,c,b,w,t,b,f,f,w,w,p,w,o,p,h,v,g
214,e,f,y,y,t,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,s,p
215,e,x,s,n,f,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,s,g
216,p,c,y,y,f,f,w,n,w,e,c,y,y,y,y,p,y,o,e,w,c,l
217,p,x,s,p,f,f,c,n,g,e,b,s,s,w,w,p,w,o,p,k,s,d
218,e,f,f,n,t,f,c,b,u,t,b,s,s,w,w,p,w,o,p,k,y,d
219,p,f,s,n,t,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,s,g
220,p,f,s,b,t,f,c,b,h,t,b,s,s,w,w,p,w,o,p,h,s,u
221,p,x,y,n,t,f,c,b,u,t,b,s,s,w,w,p,w,o,p,k,y,d
222,p,f,f,g,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,v,p
223,p,x,f,y,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,v,g
224,e,f,y,e,t,f,c,b,p,t,b,s,s,w,w,p,w,o,p,k,y,d
225,p,x,f,y,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,y,g
226,p,f,y,y,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,v,d
227,e,f,s,w,f,f,w,b,k,t,e,s,f,w,w,p,w,o,e,k,s,g
228,e,f,f,w,f,f,w,b,n,t,e,s,f,w,w,p,w,o,e,n,s,g
229,p,x,s,w,t,f,c,b,h,t,b,f,f,w,w,p,w,o,p,h,s,u
230,e,b,y,y,t,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g
231,e,f,f,n,f,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,s,g
232,e,x,y,e,t,f,c,b,u,t,b,s,s,g,g,p,w,o,p,k,v,d
233,e,f,f,n,t,f,c,b,n,t,b,s,s,g,p,p,w,o,p,n,v,d
234,p,f,y,g,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,v,p
235,p,x,y,y,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,y,p
236,e,b,s,w,t,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g
237,p,f,s,w,t,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u
238,p,f,f,y,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,v,g
239,p,b,s,b,t,f,c,b,g,e,b,s,s,w,w,p,w,t,p,r,v,g
240,p,x,s,p,f,f,c,n,g,e,b,s,s,w,w,p,w,o,p,n,s,d
241,e,f,y,e,t,f,c,b,n,t,b,s,s,w,g,p,w,o,p,k,v,d
242,e,x,f,g,t,f,c,b,w,t,b,s,s,g,w,p,w,o,p,k,v,d
243,e,x,y,n,t,f,c,b,n,t,b,s,s,w,p,p,w,o,p,n,y,d
244,e,x,f,g,f,f,w,b,p,t,e,s,f,w,w,p,w,o,e,n,s,g
245,e,f,f,g,f,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,s,g
246,e,x,y,n,t,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,v,d
247,e,k,y,c,f,f,w,n,w,e,b,s,s,w,n,p,w,o,e,w,v,l
248,e,x,s,y,t,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d
249,p,f,s,b,t,f,c,b,p,t,b,f,s,w,w,p,w,o,p,h,s,u
250,p,x,f,y,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,v,p
251,e,x,y,y,t,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m
252,p,f,f,y,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,v,d
253,p,f,y,y,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,v,p
254,p,f,f,g,t,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,y,d
255,e,f,s,n,f,f,w,b,n,t,e,f,f,w,w,p,w,o,e,k,a,g
256,e,x,f,n,t,f,c,b,u,t,b,s,s,g,w,p,w,o,p,k,y,d
257,p,f,f,y,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,v,d
258,p,x,f,y,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,v,d
259,e,x,y,n,t,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,y,d
260,e,f,y,n,t,f,c,b,u,t,b,s,s,w,g,p,w,o,p,k,y,d
261,p,x,s,w,f,f,c,n,u,e,b,s,s,w,w,p,w,o,p,n,s,d
262,e,x,f,g,t,f,c,b,u,t,b,s,s,w,p,p,w,o,p,k,v,d
263,p,x,f,y,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,y,g
264,e,f,s,y,t,f,w,n,w,t,b,s,s,w,w,p,w,o,p,u,v,d
265,e,x,y,c,f,f,w,n,w,e,b,f,f,w,n,p,w,o,e,w,v,l
0,p,x,s,b,t,f,c,b,w,t,b,s,f,w,w,p,w,o,p,h,v,u
1,e,b,y,w,t,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,g
2,p,x,f,g,f,f,w,n,p,e,b,s,s,w,w,p,w,o,p,k,s,d
3,e,x,s,w,f,f,w,b,h,t,e,s,s,w,w,p,w,o,e,k,s,g
4,p,x,f,p,f,f,c,n,g,e,b,s,s,w,w,p,w,o,p,n,s,d
5,p,x,f,g,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,y,g
6,p,f,s,w,t,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,u
7,p,x,f,y,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,y,d
8,p,x,s,w,t,f,c,b,w,t,b,s,f,w,w,p,w,o,p,h,s,g
9,e,x,f,e,t,f,c,b,n,t,b,s,s,g,w,p,w,o,p,k,y,d
10,e,b,y,w,t,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m
11,p,f,y,g,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,y,g
12,e,x,s,n,f,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,s,g
13,e,f,f,n,f,f,w,b,h,t,e,s,s,w,w,p,w,o,e,k,s,g
14,e,x,y,n,t,f,c,b,p,t,b,s,s,p,g,p,w,o,p,n,v,d
15,p,f,s,b,t,f,c,b,p,t,b,s,f,w,w,p,w,o,p,h,v,g
16,e,f,f,g,t,f,c,b,w,t,b,s,s,p,w,p,w,o,p,k,y,d
17,e,x,f,g,t,f,c,b,n,t,b,s,s,g,g,p,w,o,p,k,y,d
18,p,x,f,y,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,y,g
19,e,x,f,n,t,f,c,b,u,t,b,s,s,g,g,p,w,o,p,k,v,d
20,p,f,f,y,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,v,g
21,e,f,f,y,t,f,w,n,n,t,b,s,s,w,w,p,w,o,p,u,v,d
22,p,x,y,n,t,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,g
23,p,x,s,b,t,f,c,b,h,t,b,f,s,w,w,p,w,o,p,h,v,g
24,p,f,s,b,t,f,c,b,h,t,b,f,f,w,w,p,w,o,p,h,s,u
25,p,x,s,n,f,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,a,g
26,p,x,f,w,f,f,w,n,g,e,b,s,s,w,w,p,w,o,p,n,v,d
27,e,x,s,n,f,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,s,g
28,e,x,y,n,t,f,c,b,w,t,b,s,s,g,g,p,w,o,p,n,v,d
29,p,x,f,g,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,y,g
30,e,f,y,n,t,f,c,b,p,t,b,s,s,p,g,p,w,o,p,n,v,d
31,e,f,f,g,f,f,w,b,p,t,e,f,f,w,w,p,w,o,e,k,a,g
32,e,b,s,w,t,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m
33,e,f,y,g,t,f,c,b,w,t,b,s,s,g,p,p,w,o,p,k,v,d
34,e,x,y,g,t,f,c,b,u,t,b,s,s,g,p,p,w,o,p,n,v,d
35,e,x,y,e,t,f,c,b,p,t,b,s,s,p,p,p,w,o,p,n,v,d
36,e,x,y,e,t,f,c,b,u,t,b,s,s,g,w,p,w,o,p,k,y,d
37,e,s,f,n,f,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,u
38,p,f,s,w,t,f,c,b,p,t,b,s,s,w,w,p,w,o,p,h,s,g
39,e,x,y,g,t,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,y,d
40,e,x,y,g,t,f,c,b,u,t,b,s,s,w,g,p,w,o,p,k,y,d
41,e,f,f,n,t,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,v,d
42,e,x,y,w,t,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,m
43,p,f,y,w,t,f,c,b,w,e,b,s,s,w,w,p,w,t,p,r,v,m
44,e,x,y,n,t,f,c,b,w,t,b,s,s,p,g,p,w,o,p,k,v,d
45,e,x,f,n,t,f,c,b,n,t,b,s,s,p,g,p,w,o,p,k,y,d
46,e,f,f,g,t,f,c,b,n,t,b,s,s,p,p,p,w,o,p,k,y,d
47,e,b,y,y,t,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g
48,e,x,y,y,t,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,g
49,e,x,y,n,t,f,c,b,n,t,b,s,s,g,w,p,w,o,p,k,v,d
50,p,f,f,g,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,v,g
51,p,f,y,y,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,v,d
52,e,f,f,g,t,f,c,b,u,t,b,s,s,g,g,p,w,o,p,k,v,d
53,e,x,f,e,t,f,c,b,n,t,b,s,s,g,w,p,w,o,p,n,v,d
54,e,f,s,n,f,f,w,b,n,t,e,s,f,w,w,p,w,o,e,n,a,g
55,e,x,f,n,t,f,c,b,n,t,b,s,s,p,g,p,w,o,p,n,y,d
56,e,x,f,e,t,f,c,b,u,t,b,s,s,p,w,p,w,o,p,k,v,d
57,p,f,s,b,t,f,c,b,h,t,b,f,f,w,w,p,w,o,p,h,v,g
58,e,f,s,n,f,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,a,g
59,p,x,y,g,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,y,g
60,e,x,f,g,t,f,c,b,u,t,b,s,s,g,g,p,w,o,p,k,v,d
61,e,x,f,w,f,f,w,b,p,t,e,f,f,w,w,p,w,o,e,n,a,g
62,e,f,s,n,f,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,a,g
63,e,x,s,w,t,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m
64,p,f,y,w,t,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u
65,e,f,f,g,t,f,c,b,p,t,b,s,s,p,w,p,w,o,p,k,v,d
66,e,f,f,n,f,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,s,g
